No;Kode Saham;Nama Perusahaan;Open Price;Tertinggi;Terendah;Penutupan
1;AADI;Adaro Andalan Indonesia Tbk.;7075;7100;7000;7050
2;AALI;Astra Agro Lestari Tbk.;7475;7475;7300;7400
3;ABBA;Mahaka Media Tbk.;0;51;50;51
4;ABDA;Asuransi Bina Dana Arta Tbk.;0;3290;3280;3290
5;ABMM;ABM Investama Tbk.;2820;2820;2750;2800
6;ACES;Aspirasi Hidup Indonesia Tbk.;418;420;412;414
7;ACRO;Samcro Hyosung Adilestari Tbk.;87;87;85;86
8;ACST;Acset Indonusa Tbk.;137;149;134;141
9;ADCP;Adhi Commuter Properti Tbk.;57;57;55;56
10;ADES;Akasha Wira International Tbk.;15650;15675;15300;15350
11;ADHI;Adhi Karya (Persero) Tbk.;254;268;250;250
12;ADMF;Adira Dinamika Multi Finance Tbk.;8425;8500;8425;8500
13;ADMG;Polychem Indonesia Tbk;218;218;186;186
14;ADMR;Alamtri Minerals Indonesia Tbk.;1370;1430;1350;1415
15;ADRO;Alamtri Resources Indonesia Tbk.;1910;1915;1885;1895
16;AEGS;Anugerah Spareparts Sejahtera Tbk.;0;76;66;72
17;AGAR;Asia Sejahtera Mina Tbk.;236;242;236;236
18;AGII;Samator Indo Gas Tbk.;1600;1680;1600;1600
19;AGRO;Bank Raya Indonesia Tbk.;232;234;226;228
20;AGRS;Bank IBK Indonesia Tbk.;80;81;77;79
21;AHAP;Asuransi Harta Aman Pratama Tbk.;92;94;86;88
22;AIMS;Artha Mahiya Investama Tbk.;386;398;380;384
23;AISA;FKS Food Sejahtera Tbk.;142;143;140;142
24;AKKU;Anugerah Kagum Karya Utama Tbk.;0;32;31;32
25;AKPI;Argha Karya Prima Industry Tbk.;570;575;560;560
26;AKRA;AKR Corporindo Tbk.;1235;1245;1225;1240
27;AKSI;Mineral Sumberdaya Mandiri Tbk.;448;498;428;448
28;ALDO;Alkindo Naratama Tbk.;770;800;770;795
29;ALII;Ancara Logistics Indonesia Tbk.;1190;1240;1120;1170
30;ALKA;Alakasa Industrindo Tbk;354;390;350;364
31;ALMI;Alumindo Light Metal Industry Tbk.;0;0;0;74
32;ALTO;Tri Banyan Tirta Tbk.;0;0;0;18
33;AMAG;Asuransi Multi Artha Guna Tbk.;386;386;374;382
34;AMAN;Makmur Berkah Amanda Tbk.;206;210;195;200
35;AMAR;Bank Amar Indonesia Tbk.;230;232;224;224
36;AMFG;Asahimas Flat Glass Tbk.;3260;3280;3210;3250
37;AMIN;Ateliers Mecaniques D Indonesie Tbk.;244;260;244;252
38;AMMN;Amman Mineral Internasional Tbk.;6400;6500;6250;6500
39;AMMS;Agung Menjangan Mas Tbk.;0;420;378;378
40;AMOR;Ashmore Asset Management Indonesia Tbk.;382;388;380;384
41;AMRT;Sumber Alfaria Trijaya Tbk.;1935;1980;1930;1965
42;ANDI;Andira Agro Tbk.;0;29;27;27
43;ANJT;Austindo Nusantara Jaya Tbk.;1755;1800;1745;1750
44;ANTM;Aneka Tambang Tbk.;3110;3220;3110;3190
45;APEX;Apexindo Pratama Duta Tbk.;226;238;218;230
46;APIC;Pacific Strategic Financial Tbk.;1525;1600;1480;1600
47;APII;Arita Prima Indonesia Tbk.;208;218;202;208
48;APLI;Asiaplast Industries Tbk.;412;420;394;410
49;APLN;Agung Podomoro Land Tbk.;104;104;101;103
50;ARCI;Archi Indonesia Tbk.;1625;1730;1625;1680
51;AREA;Dunia Virtual Online Tbk.;590;610;575;575
52;ARGO;Argo Pantes Tbk;990;1000;985;995
53;ARII;Atlas Resources Tbk.;320;322;298;314
54;ARKA;Arkha Jayanti Persada Tbk.;0;36;35;35
55;ARKO;Arkora Hydro Tbk.;0;4200;3880;4200
56;ARMY;Armidian Karyatama Tbk.;0;0;0;50
57;ARNA;Arwana Citramulia Tbk.;535;535;530;535
58;ARTA;Arthavest Tbk;0;2890;2700;2820
59;ARTI;Ratu Prabu Energi Tbk;0;0;0;2
60;ARTO;Bank Jago Tbk.;1980;1990;1960;1965
61;ASBI;Asuransi Bintang Tbk.;0;468;460;468
62;ASDM;Asuransi Dayin Mitra Tbk.;0;610;575;580
63;ASGR;Astra Graphia Tbk.;1175;1190;1160;1180
64;ASHA;Cilacap Samudera Fishing Industry Tbk.;77;78;70;72
65;ASII;Astra International Tbk.;6450;6600;6450;6575
66;ASJT;Asuransi Jasa Tania Tbk.;168;168;143;145
67;ASLC;Autopedia Sukses Lestari Tbk.;87;88;84;85
68;ASLI;Asri Karya Lestari Tbk.;0;560;510;560
69;ASMI;Asuransi Maximus Graha Persada Tbk.;0;30;29;30
70;ASPI;Andalan Sakti Primaindo Tbk.;720;720;635;675
71;ASPR;Asia Pramulia Tbk.;99;103;99;103
72;ASRI;Alam Sutera Realty Tbk.;164;166;162;163
73;ASRM;Asuransi Ramayana Tbk.;320;328;318;320
74;ASSA;Adi Sarana Armada Tbk.;1180;1210;1160;1190
75;ATAP;Trimitra Prawara Goldland Tbk.;416;416;416;416
76;ATIC;Anabatic Technologies Tbk.;675;680;655;665
77;ATLA;Atlantis Subsea Indonesia Tbk.;64;64;61;62
78;AUTO;Astra Otoparts Tbk.;2600;2690;2600;2600
79;AVIA;Avia Avian Tbk.;454;464;454;462
80;AWAN;Era Digital Media Tbk.;208;208;199;204
81;AXIO;Tera Data Indonusa Tbk.;132;132;129;132
82;AYAM;Janu Putra Sejahtera Tbk.;0;402;390;390
83;AYLS;Agro Yasa Lestari Tbk.;0;0;0;250
84;BABP;Bank MNC Internasional Tbk.;55;55;54;55
85;BABY;Multitrend Indo Tbk.;360;392;302;306
86;BACA;Bank Capital Indonesia Tbk.;179;230;175;194
87;BAIK;Bersama Mencapai Puncak Tbk.;167;193;132;132
88;BAJA;Saranacentral Bajatama Tbk.;162;165;160;164
89;BALI;Bali Towerindo Sentra Tbk.;1820;1820;1670;1715
90;BANK;Bank Aladin Syariah Tbk.;940;950;910;925
91;BAPA;Bekasi Asri Pemula Tbk.;94;94;91;91
92;BAPI;Bhakti Agung Propertindo Tbk.;0;30;30;30
93;BATA;Sepatu Bata Tbk.;0;70;62;70
94;BATR;Benteng Api Technic Tbk.;114;116;111;114
95;BAUT;Mitra Angkasa Sejahtera Tbk.;0;39;38;38
96;BAYU;Bayu Buana Tbk;1370;1385;1335;1385
97;BBCA;Bank Central Asia Tbk.;8050;8175;8025;8175
98;BBHI;Allo Bank Indonesia Tbk.;1480;1485;1440;1475
99;BBKP;Bank KB Indonesia Tbk.;76;77;76;76
100;BBLD;Buana Finance Tbk.;0;945;915;940
101;BBMD;Bank Mestika Dharma Tbk.;0;2100;1995;1995
102;BBNI;Bank Negara Indonesia (Persero) Tbk.;4330;4360;4290;4330
103;BBRI;Bank Rakyat Indonesia (Persero) Tbk.;3770;3780;3750;3760
104;BBRM;Pelayaran Nasional Bina Buana Raya Tbk.;190;204;168;171
105;BBSI;Krom Bank Indonesia Tbk.;0;4030;3810;3920
106;BBSS;Bumi Benowo Sukses Sejahtera Tbk.;406;412;398;406
107;BBTN;Bank Tabungan Negara (Persero) Tbk.;1170;1175;1145;1155
108;BBYB;Bank Neo Commerce Tbk.;484;494;468;472
109;BCAP;MNC Kapital Indonesia Tbk.;57;57;55;55
110;BCIC;Bank JTrust Indonesia Tbk.;167;170;157;160
111;BCIP;Bumi Citra Permai Tbk.;77;77;73;75
112;BDKR;Berdikari Pondasi Perkasa Tbk.;190;190;173;175
113;BDMN;Bank Danamon Indonesia Tbk.;2450;2490;2400;2430
114;BEBS;Berkah Beton Sadaya Tbk.;0;0;0;5
115;BEEF;Estika Tata Tiara Tbk.;520;525;434;434
116;BEER;Jobubu Jarum Minahasa Tbk.;258;262;242;242
117;BEKS;Bank Pembangunan Daerah Banten Tbk.;0;31;30;31
118;BELI;Global Digital Niaga Tbk.;472;474;466;472
119;BELL;Trisula Textile Industries Tbk.;72;72;66;68
120;BESS;Batulicin Nusantara Maritim Tbk.;0;1560;1500;1535
121;BEST;Bekasi Fajar Industrial Estate Tbk.;106;112;106;109
122;BFIN;BFI Finance  Indonesia Tbk.;700;710;700;710
123;BGTG;Bank Ganesha Tbk.;117;120;116;116
124;BHAT;Bhakti Multi Artha Tbk.;0;1330;1280;1285
125;BHIT;MNC Asia Holding Tbk.;0;41;40;40
126;BIKA;Binakarya Jaya Abadi Tbk.;0;0;0;55
127;BIKE;Sepeda Bersama Indonesia Tbk.;770;770;745;760
128;BIMA;Primarindo Asia Infrastructure Tbk.;0;0;0;82
129;BINA;Bank Ina Perdana Tbk.;4500;4500;4430;4490
130;BINO;Perma Plasindo Tbk.;136;136;134;134
131;BIPI;Astrindo Nusantara Infrastruktur Tbk.;88;88;86;87
132;BIPP;Bhuwanatala Indah Permai Tbk.;0;51;51;51
133;BIRD;Blue Bird Tbk.;1705;1705;1685;1695
134;BISI;BISI International Tbk.;0;870;855;870
135;BJBR;Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.;820;820;805;805
136;BJTM;Bank Pembangunan Daerah Jawa Timur Tbk.;540;545;540;540
137;BKDP;Bukit Darmo Property Tbk;0;46;42;46
138;BKSL;Sentul City Tbk.;137;138;133;134
139;BKSW;Bank QNB Indonesia Tbk.;65;66;63;64
140;BLES;Superior Prima Sukses Tbk.;161;161;157;159
141;BLOG;Trimitra Trans Persada Tbk.;454;460;446;450
142;BLTA;Berlian Laju Tanker Tbk;0;38;36;36
143;BLTZ;Graha Layar Prima Tbk.;0;0;0;2900
144;BLUE;Berkah Prima Perkasa Tbk.;2900;3000;2880;3000
145;BMAS;Bank Maspion Indonesia Tbk.;0;635;630;630
146;BMBL;Lavender Bina Cendikia Tbk.;0;55;51;52
147;BMHS;Bundamedik Tbk.;194;197;183;192
148;BMRI;Bank Mandiri (Persero) Tbk.;5175;5200;5025;5100
149;BMSR;Bintang Mitra Semestaraya Tbk;342;374;318;318
150;BMTR;Global Mediacom Tbk.;140;140;137;139
151;BNBA;Bank Bumi Arta Tbk.;650;670;645;645
152;BNBR;Bakrie & Brothers Tbk;0;0;0;116
153;BNGA;Bank CIMB Niaga Tbk.;1755;1760;1740;1755
154;BNII;Bank Maybank Indonesia Tbk.;212;214;208;212
155;BNLI;Bank Permata Tbk.;5175;5300;4900;5050
156;BOAT;Newport Marine Services Tbk.;214;216;200;202
157;BOBA;Formosa Ingredient Factory Tbk.;0;195;189;192
158;BOGA;Bintang Oto Global Tbk.;1150;1150;1025;1110
159;BOLA;Bali Bintang Sejahtera Tbk.;181;181;171;175
160;BOLT;Garuda Metalindo Tbk.;1000;1010;995;1010
161;BOSS;Borneo Olah Sarana Sukses Tbk.;0;0;0;50
162;BPFI;Woori Finance Indonesia Tbk.;320;320;310;320
163;BPII;Batavia Prosperindo Internasional Tbk.;505;515;505;515
164;BPTR;Batavia Prosperindo Trans Tbk.;90;90;88;90
165;BRAM;Indo Kordsa Tbk.;0;4730;4600;4680
166;BREN;Barito Renewables Energy Tbk.;9400;9550;9350;9500
167;BRIS;Bank Syariah Indonesia Tbk.;2250;2260;2220;2220
168;BRMS;Bumi Resources Minerals Tbk.;1155;1185;1150;1165
169;BRNA;Berlina Tbk.;705;720;705;720
170;BRPT;Barito Pacific Tbk.;3490;3520;3430;3440
171;BRRC;Raja Roti Cemerlang Tbk.;113;134;98;110
172;BSBK;Wulandari Bangun Laksana Tbk.;73;73;69;69
173;BSDE;Bumi Serpong Damai Tbk.;920;925;905;905
174;BSIM;Bank Sinarmas Tbk.;870;925;835;875
175;BSML;Bintang Samudera Mandiri Lines Tbk.;226;256;214;254
176;BSSR;Baramulti Suksessarana Tbk.;3980;4000;3950;3960
177;BSWD;Bank Of India Indonesia Tbk.;0;835;835;835
178;BTEK;Bumi Teknokultura Unggul Tbk;0;17;16;17
179;BTEL;Bakrie Telecom Tbk.;0;0;0;50
180;BTON;Betonjaya Manunggal Tbk.;0;382;378;378
181;BTPN;Bank SMBC Indonesia Tbk.;2100;2100;2100;2100
182;BTPS;Bank BTPN Syariah Tbk.;1200;1210;1185;1205
183;BUAH;Segar Kumala Indonesia Tbk.;665;670;655;665
184;BUDI;Budi Starch & Sweetener Tbk.;220;220;216;218
185;BUKA;Bukalapak.com Tbk.;162;163;154;155
186;BUKK;Bukaka Teknik Utama Tbk.;0;1705;1560;1620
187;BULL;Buana Lintas Lautan Tbk.;376;386;368;378
188;BUMI;Bumi Resources Tbk.;348;394;346;394
189;BUVA;Bukit Uluwatu Villa Tbk.;1280;1410;1215;1390
190;BVIC;Bank Victoria International Tbk.;113;113;108;110
191;BWPT;Eagle High Plantations Tbk.;142;145;140;142
192;BYAN;Bayan Resources Tbk.;15950;16000;15950;15975
193;CAKK;Cahayaputra Asa Keramik Tbk.;176;179;175;177
194;CAMP;Campina Ice Cream Industry Tbk.;216;220;214;216
195;CANI;Capitol Nusantara Indonesia Tbk.;0;0;0;116
196;CARE;Metro Healthcare Indonesia Tbk.;0;0;0;755
197;CARS;Industri dan Perdagangan Bintraco Dharma Tbk.;125;125;122;124
198;CASA;Capital Financial Indonesia Tbk.;0;1640;1595;1600
199;CASH;Cashlez Worldwide Indonesia Tbk.;0;105;101;102
200;CASS;Cahaya Aero Services Tbk.;2430;2700;2420;2650
201;CBDK;Bangun Kosambi Sukses Tbk.;8975;9400;8750;8925
202;CBMF;Cahaya Bintang Medan Tbk.;0;0;0;50
203;CBPE;Citra Buana Prasida Tbk.;308;320;306;306
204;CBRE;Cakra Buana Resources Energi Tbk.;1070;1090;1025;1045
205;CBUT;Citra Borneo Utama Tbk.;1075;1075;1010;1040
206;CCSI;Communication Cable Systems Indonesia Tbk.;322;340;308;330
207;CDIA;Chandra Daya Investasi Tbk.;1785;1795;1765;1765
208;CEKA;Wilmar Cahaya Indonesia Tbk.;2440;2490;2430;2450
209;CENT;Centratama Telekomunikasi Indonesia Tbk.;146;146;134;136
210;CFIN;Clipan Finance Indonesia Tbk.;320;322;318;320
211;CGAS;Citra Nusantara Gemilang Tbk.;176;178;170;174
212;CHEK;Diastika Biotekindo Tbk.;170;170;163;170
213;CHEM;Chemstar Indonesia Tbk.;101;102;96;98
214;CHIP;Pelita Teknologi Global Tbk.;0;1345;1315;1335
215;CINT;Chitose Internasional Tbk.;191;194;191;192
216;CITA;Cita Mineral Investindo Tbk.;4300;4550;4300;4400
217;CITY;Natura City Developments Tbk.;0;474;416;416
218;CLAY;Citra Putra Realty Tbk.;2470;2840;2300;2500
219;CLEO;Sariguna Primatirta Tbk.;464;466;460;464
220;CLPI;Colorpak Indonesia Tbk.;0;1505;1460;1490
221;CMNP;Citra Marga Nusaphala Persada Tbk.;1310;1325;1300;1305
222;CMNT;Cemindo Gemilang Tbk.;815;815;790;805
223;CMPP;AirAsia Indonesia Tbk.;0;98;98;98
224;CMRY;Cisarua Mountain Dairy Tbk.;5400;5550;5350;5550
225;CNKO;Exploitasi Energi Indonesia Tbk.;0;63;63;63
226;CNMA;Nusantara Sejahtera Raya Tbk.;118;120;118;118
227;CNTB;Saham Seri B ( Centex Tbk );0;0;0;250
228;CNTX;Century Textile Industry Tbk.;0;0;0;142
229;COAL;Black Diamond Resources Tbk.;92;101;82;93
230;COCO;Wahana Interfood Nusantara Tbk.;328;332;316;320
231;COIN;Indokripto Koin Semesta Tbk.;3870;3950;3760;3850
232;COWL;Cowell Development Tbk.;0;0;0;50
233;CPIN;Charoen Pokphand Indonesia Tbk;4640;4640;4550;4550
234;CPRI;Capri Nusa Satu Properti Tbk.;0;0;0;50
235;CPRO;Central Proteina Prima Tbk.;62;63;61;61
236;CRAB;Toba Surimi Industries Tbk.;264;266;260;262
237;CRSN;Carsurin Tbk.;142;160;124;126
238;CSAP;Catur Sentosa Adiprana Tbk.;322;326;318;320
239;CSIS;Cahayasakti Investindo Sukses Tbk.;468;468;376;376
240;CSMI;Cipta Selera Murni Tbk.;234;262;230;262
241;CSRA;Cisadane Sawit Raya Tbk.;945;945;925;925
242;CTBN;Citra Tubindo Tbk.;0;6200;5800;5825
243;CTRA;Ciputra Development Tbk.;880;880;860;870
244;CTTH;Citatah Tbk.;159;159;137;137
245;CUAN;Petrindo Jaya Kreasi Tbk.;2260;2280;2220;2250
246;CYBR;ITSEC Asia Tbk.;1410;1410;1335;1395
247;DAAZ;Daaz Bara Lestari Tbk.;2200;2200;2180;2180
248;DADA;Diamond Citra Propertindo Tbk.;50;50;50;50
249;DART;Duta Anggada Realty Tbk.;193;193;185;185
250;DATA;Remala Abadi Tbk.;4250;4290;4100;4130
251;DAYA;Duta Intidaya Tbk.;1285;1290;1250;1265
252;DEAL;Dewata Freightinternational Tbk.;0;0;0;6
253;DEFI;Danasupra Erapacific Tbk.;0;206;206;206
254;DEPO;Caturkarda Depo Bangunan Tbk.;286;288;274;276
255;DEWA;Darma Henwa Tbk;555;585;550;575
256;DEWI;Dewi Shri Farmindo Tbk.;167;170;144;153
257;DFAM;Dafam Property Indonesia Tbk.;99;100;98;98
258;DGIK;Nusa Konstruksi Enjiniring Tbk.;188;192;169;179
259;DGNS;Diagnos Laboratorium Utama Tbk.;204;210;195;200
260;DGWG;Delta Giri Wacana Tbk.;370;380;370;372
261;DIGI;Arkadia Digital Media Tbk.;0;35;35;35
262;DILD;Intiland Development Tbk.;132;132;130;130
263;DIVA;Distribusi Voucher Nusantara Tbk.;170;172;167;167
264;DKFT;Central Omega Resources Tbk.;670;710;670;705
265;DKHH;Cipta Sarana Medika Tbk.;82;83;80;81
266;DLTA;Delta Djakarta Tbk.;1995;2000;1975;2000
267;DMAS;Puradelta Lestari Tbk.;129;130;128;129
268;DMMX;Digital Mediatama Maxima Tbk.;372;372;356;362
269;DMND;Diamond Food Indonesia Tbk.;705;745;690;740
270;DNAR;Bank Oke Indonesia Tbk.;194;195;182;183
271;DNET;Indoritel Makmur Internasional Tbk.;0;8950;8750;8825
272;DOID;BUMA Internasional Grup Tbk.;294;310;294;302
273;DOOH;Era Media Sejahtera Tbk.;0;0;0;360
274;DOSS;Global Sukses Digital Tbk.;240;244;214;216
275;DPNS;Duta Pertiwi Nusantara Tbk.;0;0;0;310
276;DPUM;Dua Putra Utama Makmur Tbk.;218;276;190;276
277;DRMA;Dharma Polimetal Tbk.;1040;1060;1030;1050
278;DSFI;Dharma Samudera Fishing Industries Tbk.;96;97;89;90
279;DSNG;Dharma Satya Nusantara Tbk.;1550;1550;1450;1475
280;DUCK;Jaya Bersama Indo Tbk.;0;0;0;176
281;DUTI;Duta Pertiwi Tbk;4300;4300;4020;4250
282;DVLA;Darya-Varia Laboratoria Tbk.;1665;1665;1645;1660
283;DWGL;Dwi Guna Laksana Tbk.;326;328;310;314
284;DYAN;Dyandra Media International Tbk.;85;88;85;87
285;EAST;Eastparc Hotel Tbk.;95;100;94;97
286;ECII;Electronic City Indonesia Tbk.;185;186;182;182
287;EDGE;Indointernet Tbk.;0;4670;4400;4540
288;EKAD;Ekadharma International Tbk.;187;187;186;186
289;ELIT;Data Sinergitama Jaya Tbk.;196;204;193;198
290;ELPI;Pelayaran Nasional Ekalya Purnamasari Tbk.;700;790;695;750
291;ELSA;Elnusa Tbk.;494;498;492;492
292;ELTY;Bakrieland Development Tbk.;0;40;40;40
293;EMAS;Merdeka Gold Resources Tbk.;5300;5900;5300;5600
294;EMDE;Megapolitan Developments Tbk.;94;98;93;94
295;EMTK;Elang Mahkota Teknologi Tbk.;1225;1230;1140;1140
296;ENAK;Champ Resto Indonesia Tbk.;0;635;595;605
297;ENRG;Energi Mega Persada Tbk.;1470;1490;1445;1450
298;ENVY;Envy Technologies Indonesia Tbk.;0;0;0;50
